sleep,svm,0.5927,0.4638,0.5622,0.5083,118.1,10,20
sleep,dts,0.5916,0.4478,0.3895,0.4166,65.3,10,20
sleep,rf,0.5959,0.4036,0.1654,0.2347,2604.6,10,20
out,svm,0.7083,0.3333,0.1060,0.1609,148.0,10,20
out,dts,0.5614,0.2750,0.4054,0.3277,61.7,10,20
out,rf,0.6711,0.3234,0.2266,0.2665,2484.4,10,20
meal,svm,0.5121,0.0324,0.3373,0.0592,112.8,10,20
meal,dts,0.8838,0.0490,0.0843,0.0619,64.8,10,20
meal,rf,0.9238,0.0625,0.0482,0.0544,2388.7,10,20
other,svm,0.6524,0.4844,0.0491,0.0891,139.5,10,20
other,dts,0.5674,0.3760,0.3766,0.3763,68.7,10,20
other,rf,0.6420,0.4598,0.1899,0.2688,3039.3,10,20
