out,0.6848,0.2526,0.0998,0.1431,1.1
sleep,0.4402,0.3888,0.8653,0.5365,1.1
sleep,0.4348,0.3864,0.8668,0.5345,1.1
sleep,0.4348,0.3890,0.8931,0.5420,1.1
sleep,0.4320,0.3877,0.8917,0.5404,1.1
sleep,0.4112,0.3800,0.9063,0.5355,1.1
sleep,0.4057,0.3780,0.9092,0.5340,1.1
sleep,0.4079,0.3806,0.9268,0.5396,1.1
out,0.6848,0.2526,0.0998,0.1431,1.1
out,0.6908,0.2655,0.0977,0.1429,1.1
out,0.6875,0.2398,0.0852,0.1258,1.1
out,0.6902,0.2439,0.0832,0.1240,1.1
out,0.6886,0.2426,0.0852,0.1262,1.1
out,0.6974,0.2517,0.0748,0.1154,1.1
out,0.7100,0.2931,0.0707,0.1139,1.1
meal,0.9545,0.0000,0.0000,0.0000,1.1
meal,0.9545,0.0000,0.0000,0.0000,1.1
meal,0.9545,0.0000,0.0000,0.0000,1.1
meal,0.9545,0.0000,0.0000,0.0000,1.1
meal,0.9545,0.0000,0.0000,0.0000,1.1
meal,0.9545,0.0000,0.0000,0.0000,1.1
meal,0.9545,0.0000,0.0000,0.0000,1.1
other,0.6606,0.6140,0.0554,0.1016,1.1
other,0.6623,0.6429,0.0570,0.1047,1.1
other,0.6612,0.6458,0.0491,0.0912,1.1
other,0.6623,0.6600,0.0522,0.0968,1.1
other,0.6535,0.0000,0.0000,0.0000,1.1
other,0.6535,0.0000,0.0000,0.0000,1.1
other,0.6535,0.0000,0.0000,0.0000,1.1
