,accu,prec,recall,f1 
Power2,0.7250,0.8000,0.6000,0.6857
Power1,0.9000,0.9444,0.8500,0.8947
Power3,0.6250,0.6190,0.6500,0.6341
Power6,0.6500,0.6154,0.8000,0.6957
Power5,0.8000,0.7727,0.8500,0.8095
Power7,0.6500,0.6154,0.8000,0.6957
Power8,0.9250,0.9474,0.9000,0.9231
Power9,0.8250,0.7600,0.9500,0.8444
Power10,0.7500,0.7083,0.8500,0.7727
Power11,0.7500,0.8125,0.6500,0.7222
Power12,0.8000,0.7727,0.8500,0.8095
Power13,0.4750,0.4800,0.6000,0.5333
Power14,0.9500,0.9091,1.0000,0.9524
Power15,0.8250,0.7600,0.9500,0.8444
Power16,0.7500,0.7500,0.7500,0.7500
Power17,0.7750,0.7391,0.8500,0.7907
Power18,0.8500,0.9375,0.7500,0.8333
Power19,0.8750,0.9412,0.8000,0.8649
Power20,0.8500,0.8889,0.8000,0.8421
Power21,0.9750,0.9524,1.0000,0.9756
Power22,0.7750,0.8235,0.7000,0.7568
Power23,0.9250,0.9048,0.9500,0.9268
Power24,0.7250,0.6800,0.8500,0.7556
Power25,0.6250,0.6471,0.5500,0.5946
Power26,0.7500,0.7083,0.8500,0.7727
Power27,0.6750,0.7333,0.5500,0.6286
Power28,0.8250,0.7407,1.0000,0.8511
Power29,0.8000,0.8000,0.8000,0.8000
Power30,0.7250,0.8462,0.5500,0.6667
Power31,0.7000,0.8333,0.5000,0.6250
Power32,0.6750,0.6400,0.8000,0.7111
Power33,0.6750,0.6207,0.9000,0.7347
Power34,0.6500,0.6500,0.6500,0.6500
Power35,0.7750,0.7200,0.9000,0.8000
Power36,0.7000,0.7000,0.7000,0.7000
Power37,0.7250,0.7143,0.7500,0.7317
Power38,0.7250,0.7143,0.7500,0.7317
Power39,0.6750,0.6842,0.6500,0.6667
Power51,0.7750,0.7391,0.8500,0.7907
Power52,0.7750,0.7895,0.7500,0.7692
Power53,0.6500,0.7143,0.5000,0.5882
Power54,0.5500,0.5500,0.5500,0.5500
Power55,0.6750,0.6842,0.6500,0.6667
Power56,0.6750,0.6842,0.6500,0.6667
Power57,0.8500,0.8182,0.9000,0.8571
Power58,0.9000,0.9000,0.9000,0.9000
Power59,0.7250,0.6667,0.9000,0.7660
Power60,0.8250,0.8095,0.8500,0.8293
Power61,0.6750,0.6400,0.8000,0.7111
Power62,0.6500,0.6364,0.7000,0.6667
Power63,0.8250,0.7826,0.9000,0.8372
Power64,0.7750,0.7895,0.7500,0.7692
Power65,0.6750,0.6400,0.8000,0.7111
Power66,0.7000,0.6818,0.7500,0.7143
Power67,0.6250,0.6087,0.7000,0.6512
Power68,0.8000,0.8333,0.7500,0.7895
Power69,0.8000,0.8000,0.8000,0.8000
Power70,0.6500,0.6667,0.6000,0.6316
Power71,0.6000,0.6429,0.4500,0.5294
Power72,0.8000,0.7727,0.8500,0.8095
Power73,0.7000,0.7222,0.6500,0.6842
Power74,0.7250,0.6800,0.8500,0.7556
Power76,0.5750,0.5714,0.6000,0.5854
Power77,0.7750,0.7619,0.8000,0.7805
Power78,0.6750,0.6400,0.8000,0.7111
Power79,0.7500,0.8571,0.6000,0.7059
Power80,0.9250,0.9048,0.9500,0.9268
Power81,0.7750,0.7200,0.9000,0.8000
Power82,0.6750,0.6522,0.7500,0.6977
Power83,0.7750,0.7895,0.7500,0.7692
Power84,0.7250,0.7368,0.7000,0.7179
Power85,0.7750,0.7895,0.7500,0.7692
Power86,0.7250,0.6957,0.8000,0.7442
Power87,0.8750,1.0000,0.7500,0.8571
Power88,0.7500,0.6923,0.9000,0.7826
Power89,0.7750,0.7895,0.7500,0.7692
Power90,0.7000,0.7222,0.6500,0.6842
Power91,0.8500,0.8889,0.8000,0.8421
Power92,0.6500,0.6364,0.7000,0.6667
Power93,0.7500,0.6786,0.9500,0.7917
Power94,0.7000,0.7222,0.6500,0.6842
Power95,0.7500,0.7273,0.8000,0.7619
Power96,0.8250,0.8095,0.8500,0.8293
Power97,0.8000,0.7308,0.9500,0.8261
Power98,0.8750,0.8571,0.9000,0.8780
Power99,0.6250,0.6000,0.7500,0.6667
Power100,0.8000,0.8333,0.7500,0.7895
Power101,0.7250,0.7143,0.7500,0.7317
Power102,0.9000,1.0000,0.8000,0.8889
Power103,0.8750,0.8571,0.9000,0.8780
Power104,0.6000,0.6000,0.6000,0.6000
Power105,0.8250,0.8095,0.8500,0.8293
Power106,0.9500,0.9091,1.0000,0.9524
Power107,0.9250,0.9048,0.9500,0.9268
Power108,0.8000,0.8750,0.7000,0.7778
Power109,0.7250,0.7143,0.7500,0.7317
